date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:02:37	209698/209698	---MCZ	200	added ('OK')	text/html	date:Fri,%2026%20Jul%202024%2011:02:36%20GMT	https://www.emaar.com/	C:/My%20Web%20Sites/https___www.emaar.com_/www.emaar.com/index.html	(from )
14:02:38	171/171	---M--	200	added ('OK')	text/plain	date:Fri,%2026%20Jul%202024%2011:02:35%20GMT	https://www.emaar.com/robots.txt		(from )
14:02:39	291/291	---M--	500	error ('Internal%20Server%20Error')	text/xml	etag:%22524f5feaa8371ca9a429ba28429462bf%22	https://www.emaar.com/feed/	C:/My%20Web%20Sites/https___www.emaar.com_/www.emaar.com/feed/index.html	(from https://www.emaar.com/)
14:02:40	206617/206617	---MCZ	200	added ('OK')	text/css	etag:W/%22667a95be-32719%22	https://www-emaar-com.azureedge.net/wp-content/cache/min/1/wp-content/themes/twentytwenty-child/inc/assets/css/ext.min.css?ver=1719309758	C:/My%20Web%20Sites/https___www.emaar.com_/www-emaar-com.azureedge.net/wp-content/cache/min/1/wp-content/themes/twentytwenty-child/inc/assets/css/ext.min3755.css	(from https://www.emaar.com/)
14:02:42	1332/1332	---MCZ	200	added ('OK')	text/css	etag:W/%22667a95be-534%22	https://www-emaar-com.azureedge.net/wp-content/cache/min/1/wp-content/themes/twentytwenty-child/assets/slick/slick.css?ver=1719309758	C:/My%20Web%20Sites/https___www.emaar.com_/www-emaar-com.azureedge.net/wp-content/cache/min/1/wp-content/themes/twentytwenty-child/assets/slick/slick3755.css	(from https://www.emaar.com/)
14:02:44	203949/203949	---MCZ	200	added ('OK')	text/css	etag:W/%22667a95be-31cad%22	https://www-emaar-com.azureedge.net/wp-content/cache/min/1/wp-content/themes/twentytwenty-child/assets/css/style.css?ver=1719309758	C:/My%20Web%20Sites/https___www.emaar.com_/www-emaar-com.azureedge.net/wp-content/cache/min/1/wp-content/themes/twentytwenty-child/assets/css/style3755.css	(from https://www.emaar.com/)
14:02:45	2451/2451	---MCZ	200	added ('OK')	text/css	etag:W/%22667a95be-993%22	https://www-emaar-com.azureedge.net/wp-content/cache/min/1/assets/external/widget.css?ver=1719309758	C:/My%20Web%20Sites/https___www.emaar.com_/www-emaar-com.azureedge.net/wp-content/cache/min/1/assets/external/widget3755.css	(from https://www.emaar.com/)
14:02:46	664/664	---M--	200	added ('OK')	text/css	etag:%22667a95be-298%22	https://www-emaar-com.azureedge.net/wp-content/cache/min/1/wp-content/themes/twentytwenty-child/style.css?ver=1719309758	C:/My%20Web%20Sites/https___www.emaar.com_/www-emaar-com.azureedge.net/wp-content/cache/min/1/wp-content/themes/twentytwenty-child/style3755.css	(from https://www.emaar.com/)
14:02:48	2702/2702	---MCZ	200	added ('OK')	text/css	etag:W/%2265fbe5b3-a8e%22	https://www-emaar-com.azureedge.net/wp-content/themes/twentytwenty/print.css?ver=1.0.0	C:/My%20Web%20Sites/https___www.emaar.com_/www-emaar-com.azureedge.net/wp-content/themes/twentytwenty/print8a54.css	(from https://www.emaar.com/)
14:02:49	89476/89476	---MCZ	200	added ('OK')	application/javascript	etag:W/%22668bb350-15d84%22	https://www-emaar-com.azureedge.net/wp-content/themes/twentytwenty-child/inc/assets/js/jquery.min.js?ver=6.5.2	C:/My%20Web%20Sites/https___www.emaar.com_/www-emaar-com.azureedge.net/wp-content/themes/twentytwenty-child/inc/assets/js/jquery.mine63c.js	(from https://www.emaar.com/)
